Overall Pick,Round/Pick,Slot,Owner,Day,Time,Date
1,1.01,Mets,Mets,1,9:00 EST,
2,1.02,Mariners,Mariners,1,10:00 EST,
3,1.03,Rangers,Rangers,1,11:00 EST,
4,1.04,Yankees,Yankees,1,12:00 EST,
5,1.05,Rays,Rays,1,1:00 EST,
6,1.06,Twins,Twins,1,2:00 EST,
7,1.07,Angels,Angels,1,3:00 EST,
8,1.08,Brewers,Brewers,1,4:00 EST,
9,1.09,Nationals,Nationals,1,5:00 EST,
10,1.10,Pirates,Pirates,1,6:00 EST,
11,1.11,Phillies,Phillies,2,9:00 EST,
12,1.12,Braves,Braves,2,10:00 EST,
13,1.13,Cardinals,White Sox,2,11:00 EST,
14,1.14,Orioles,Orioles,2,12:00 EST,
15,1.15,Diamondbacks,Diamondbacks,2,1:00 EST,
16,1.16,Guardians,Guardians,2,2:00 EST,
17,1.17,Red Sox,Red Sox,2,3:00 EST,
18,1.18,Reds,Reds,2,4:00 EST,
19,1.19,Athletics,Athletics,2,5:00 EST,
20,1.20,Padres,Padres,2,6:00 EST,
21,1.21,Dodgers,Dodgers,3,9:00 EST,
22,1.22,White Sox,Cardinals,3,10:00 EST,
23,1.23,Blue Jays,Blue Jays,3,11:00 EST,
24,1.24,Rockies,Rockies,3,12:00 EST,
25,1.25,Royals,Royals,3,1:00 EST,
26,1.26,Cubs,Cubs,3,2:00 EST,
27,1.27,Marlins,Marlins,3,3:00 EST,
28,1.28,Giants,Giants,3,4:00 EST,
29,1.29,Astros,Astros,3,5:00 EST,
30,1.30,Tigers,Tigers,3,6:00 EST,
31,2.01,Rays,Rays,4,9:00 EST,
32,2.02,Brewers,Brewers,4,10:00 EST,
33,2.03,Rangers,Rangers,4,11:00 EST,
34,2.04,Nationals,Nationals,4,12:00 EST,
35,2.05,Yankees,Yankees,4,1:00 EST,
36,2.06,Pirates,Pirates,4,2:00 EST,
37,2.07,Twins,Twins,4,3:00 EST,
38,2.08,Mariners,Mariners,4,4:00 EST,
39,2.09,Phillies,Rays,4,5:00 EST,
40,2.10,Braves,Braves,4,6:00 EST,
41,2.11,Angels,Angels,5,9:00 EST,
42,2.12,Mets,Mets,5,10:00 EST,
43,2.13,Cardinals,Angels,5,11:00 EST,
44,2.14,Diamondbacks,Diamondbacks,5,12:00 EST,
45,2.15,Orioles,Twins,5,1:00 EST,
